utc_time,current_values,hr1_tech_content,secondary_data
2022-08-22 05:03:00.000081,"2,594.00 -19.85    -0.76%
01:02:30 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (9)
Pivot PointsAug 22, 2022 05:00AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2581.50
2592.00
2610.00
2620.50
2638.50
2649.00
2667.00
Fibonacci
2592.00
2602.89
2609.61
2620.50
2631.39
2638.11
2649.00
Camarilla
2620.16
2622.78
2625.39
2620.50
2630.61
2633.22
2635.84
Woodie's
2585.26
2593.88
2613.76
2622.38
2642.26
2650.88
2670.76
DeMark's
-
-
2615.25
2623.12
2643.75
-
-
Technical IndicatorsAug 22, 2022 05:00AM GMT
Name
Value
Action
RSI(14)
32.674
Sell
STOCH(9,6)
33.376
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-7.350
Sell
ADX(14)
34.060
Sell
Williams %R
-96.204
Oversold
CCI(14)
-118.7249
Sell
ATR(14)
15.9893
High Volatility
Highs/Lows(14)
-36.9643
Sell
Ultimate Oscillator
42.976
Sell
ROC
-2.117
Sell
Bull/Bear Power(13)
-36.9781
Sell
Buy: 0
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:00AM GMT
Period
Simple
Exponential
MA5
2612.38
Sell
2612.17
Sell
MA10
2624.72
Sell
2621.61
Sell
MA20
2639.70
Sell
2632.11
Sell
MA50
2633.28
Sell
2627.77
Sell
MA100
2602.52
Sell
2595.70
Sell
MA200
2527.61
Buy
2563.50
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,470,426
Bid/Ask: 2,594.00 / 2,594.55
Day's Range: 2,586.90 - 2,631.30"
2022-08-22 05:05:00.000061,"2,593.45 -20.40    -0.78%
01:04:40 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (9)
Pivot PointsAug 22, 2022 05:00AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2581.50
2592.00
2610.00
2620.50
2638.50
2649.00
2667.00
Fibonacci
2592.00
2602.89
2609.61
2620.50
2631.39
2638.11
2649.00
Camarilla
2620.16
2622.78
2625.39
2620.50
2630.61
2633.22
2635.84
Woodie's
2585.26
2593.88
2613.76
2622.38
2642.26
2650.88
2670.76
DeMark's
-
-
2615.25
2623.12
2643.75
-
-
Technical IndicatorsAug 22, 2022 05:00AM GMT
Name
Value
Action
RSI(14)
32.674
Sell
STOCH(9,6)
33.376
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-7.350
Sell
ADX(14)
34.060
Sell
Williams %R
-96.204
Oversold
CCI(14)
-118.7249
Sell
ATR(14)
15.9893
High Volatility
Highs/Lows(14)
-36.9643
Sell
Ultimate Oscillator
42.976
Sell
ROC
-2.117
Sell
Bull/Bear Power(13)
-36.9781
Sell
Buy: 0
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:00AM GMT
Period
Simple
Exponential
MA5
2612.38
Sell
2612.17
Sell
MA10
2624.72
Sell
2621.61
Sell
MA20
2639.70
Sell
2632.11
Sell
MA50
2633.28
Sell
2627.77
Sell
MA100
2602.52
Sell
2595.70
Sell
MA200
2527.61
Buy
2563.50
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,483,692
Bid/Ask: 2,592.25 / 2,593.35
Day's Range: 2,586.90 - 2,631.30"
2022-08-22 05:07:00.000061,"2,592.00 -21.85    -0.84%
01:06:20 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (9)
Pivot PointsAug 22, 2022 05:00AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2581.50
2592.00
2610.00
2620.50
2638.50
2649.00
2667.00
Fibonacci
2592.00
2602.89
2609.61
2620.50
2631.39
2638.11
2649.00
Camarilla
2620.16
2622.78
2625.39
2620.50
2630.61
2633.22
2635.84
Woodie's
2585.26
2593.88
2613.76
2622.38
2642.26
2650.88
2670.76
DeMark's
-
-
2615.25
2623.12
2643.75
-
-
Technical IndicatorsAug 22, 2022 05:00AM GMT
Name
Value
Action
RSI(14)
32.674
Sell
STOCH(9,6)
33.376
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-7.350
Sell
ADX(14)
34.060
Sell
Williams %R
-96.204
Oversold
CCI(14)
-118.7249
Sell
ATR(14)
15.9893
High Volatility
Highs/Lows(14)
-36.9643
Sell
Ultimate Oscillator
42.976
Sell
ROC
-2.117
Sell
Bull/Bear Power(13)
-36.9781
Sell
Buy: 0
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:00AM GMT
Period
Simple
Exponential
MA5
2612.38
Sell
2612.17
Sell
MA10
2624.72
Sell
2621.61
Sell
MA20
2639.70
Sell
2632.11
Sell
MA50
2633.28
Sell
2627.77
Sell
MA100
2602.52
Sell
2595.70
Sell
MA200
2527.61
Buy
2563.50
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,493,650
Bid/Ask: 2,592.00 / 2,592.10
Day's Range: 2,586.90 - 2,631.30"
2022-08-22 05:09:00.000051,"2,593.50 -20.35    -0.78%
01:08:35 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (9)
Pivot PointsAug 22, 2022 05:00AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2581.50
2592.00
2610.00
2620.50
2638.50
2649.00
2667.00
Fibonacci
2592.00
2602.89
2609.61
2620.50
2631.39
2638.11
2649.00
Camarilla
2620.16
2622.78
2625.39
2620.50
2630.61
2633.22
2635.84
Woodie's
2585.26
2593.88
2613.76
2622.38
2642.26
2650.88
2670.76
DeMark's
-
-
2615.25
2623.12
2643.75
-
-
Technical IndicatorsAug 22, 2022 05:00AM GMT
Name
Value
Action
RSI(14)
32.674
Sell
STOCH(9,6)
33.376
Sell
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-7.350
Sell
ADX(14)
34.060
Sell
Williams %R
-96.204
Oversold
CCI(14)
-118.7249
Sell
ATR(14)
15.9893
High Volatility
Highs/Lows(14)
-36.9643
Sell
Ultimate Oscillator
42.976
Sell
ROC
-2.117
Sell
Bull/Bear Power(13)
-36.9781
Sell
Buy: 0
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:00AM GMT
Period
Simple
Exponential
MA5
2612.38
Sell
2612.17
Sell
MA10
2624.72
Sell
2621.61
Sell
MA20
2639.70
Sell
2632.11
Sell
MA50
2633.28
Sell
2627.77
Sell
MA100
2602.52
Sell
2595.70
Sell
MA200
2527.61
Buy
2563.50
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,503,017
Bid/Ask: 2,593.50 / 2,593.60
Day's Range: 2,586.90 - 2,631.30"
2022-08-22 05:11:00.000060,"2,594.00 -19.85    -0.76%
01:10:15 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsAug 22, 2022 05:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2535.31
2561.63
2576.31
2602.63
2617.31
2643.63
2658.31
Fibonacci
2561.63
2577.29
2586.97
2602.63
2618.29
2627.97
2643.63
Camarilla
2579.72
2583.48
2587.24
2602.63
2594.76
2598.52
2602.28
Woodie's
2529.49
2558.72
2570.49
2599.72
2611.49
2640.72
2652.49
DeMark's
-
-
2568.98
2598.96
2609.98
-
-
Technical IndicatorsAug 22, 2022 05:10AM GMT
Name
Value
Action
RSI(14)
34.107
Sell
STOCH(9,6)
28.129
Sell
STOCHRSI(14)
4.875
Oversold
MACD(12,26)
-9.510
Sell
ADX(14)
34.785
Neutral
Williams %R
-92.906
Oversold
CCI(14)
-127.5599
Sell
ATR(14)
15.7643
High Volatility
Highs/Lows(14)
-30.3608
Sell
Ultimate Oscillator
47.276
Sell
ROC
-2.230
Sell
Bull/Bear Power(13)
-57.9101
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:10AM GMT
Period
Simple
Exponential
MA5
2607.11
Sell
2605.48
Sell
MA10
2618.76
Sell
2616.29
Sell
MA20
2636.31
Sell
2628.49
Sell
MA50
2633.36
Sell
2626.37
Sell
MA100
2602.77
Sell
2595.55
Sell
MA200
2528.52
Buy
2563.94
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,516,002
Bid/Ask: 2,594.00 / 2,594.30
Day's Range: 2,586.90 - 2,631.30"
2022-08-22 05:13:00.000045,"2,594.05 -19.80    -0.76%
01:12:56 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsAug 22, 2022 05:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2535.31
2561.63
2576.31
2602.63
2617.31
2643.63
2658.31
Fibonacci
2561.63
2577.29
2586.97
2602.63
2618.29
2627.97
2643.63
Camarilla
2579.72
2583.48
2587.24
2602.63
2594.76
2598.52
2602.28
Woodie's
2529.49
2558.72
2570.49
2599.72
2611.49
2640.72
2652.49
DeMark's
-
-
2568.98
2598.96
2609.98
-
-
Technical IndicatorsAug 22, 2022 05:10AM GMT
Name
Value
Action
RSI(14)
34.107
Sell
STOCH(9,6)
28.129
Sell
STOCHRSI(14)
4.875
Oversold
MACD(12,26)
-9.510
Sell
ADX(14)
34.785
Neutral
Williams %R
-92.906
Oversold
CCI(14)
-127.5599
Sell
ATR(14)
15.7643
High Volatility
Highs/Lows(14)
-30.3608
Sell
Ultimate Oscillator
47.276
Sell
ROC
-2.230
Sell
Bull/Bear Power(13)
-57.9101
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:10AM GMT
Period
Simple
Exponential
MA5
2607.11
Sell
2605.48
Sell
MA10
2618.76
Sell
2616.29
Sell
MA20
2636.31
Sell
2628.49
Sell
MA50
2633.36
Sell
2626.37
Sell
MA100
2602.77
Sell
2595.55
Sell
MA200
2528.52
Buy
2563.94
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,531,027
Bid/Ask: 2,594.00 / 2,594.05
Day's Range: 2,586.90 - 2,631.30"
2022-08-22 05:15:00.000049,"2,593.60 -20.25    -0.77%
01:14:16 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsAug 22, 2022 05:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2535.31
2561.63
2576.31
2602.63
2617.31
2643.63
2658.31
Fibonacci
2561.63
2577.29
2586.97
2602.63
2618.29
2627.97
2643.63
Camarilla
2579.72
2583.48
2587.24
2602.63
2594.76
2598.52
2602.28
Woodie's
2529.49
2558.72
2570.49
2599.72
2611.49
2640.72
2652.49
DeMark's
-
-
2568.98
2598.96
2609.98
-
-
Technical IndicatorsAug 22, 2022 05:10AM GMT
Name
Value
Action
RSI(14)
34.107
Sell
STOCH(9,6)
28.129
Sell
STOCHRSI(14)
4.875
Oversold
MACD(12,26)
-9.510
Sell
ADX(14)
34.785
Neutral
Williams %R
-92.906
Oversold
CCI(14)
-127.5599
Sell
ATR(14)
15.7643
High Volatility
Highs/Lows(14)
-30.3608
Sell
Ultimate Oscillator
47.276
Sell
ROC
-2.230
Sell
Bull/Bear Power(13)
-57.9101
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:10AM GMT
Period
Simple
Exponential
MA5
2607.11
Sell
2605.48
Sell
MA10
2618.76
Sell
2616.29
Sell
MA20
2636.31
Sell
2628.49
Sell
MA50
2633.36
Sell
2626.37
Sell
MA100
2602.77
Sell
2595.55
Sell
MA200
2528.52
Buy
2563.94
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,535,482
Bid/Ask: 2,593.60 / 2,593.65
Day's Range: 2,586.90 - 2,631.30"
2022-08-22 05:17:00.000047,"2,595.70 -18.15    -0.69%
01:16:50 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsAug 22, 2022 05:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2535.31
2561.63
2576.31
2602.63
2617.31
2643.63
2658.31
Fibonacci
2561.63
2577.29
2586.97
2602.63
2618.29
2627.97
2643.63
Camarilla
2579.72
2583.48
2587.24
2602.63
2594.76
2598.52
2602.28
Woodie's
2529.49
2558.72
2570.49
2599.72
2611.49
2640.72
2652.49
DeMark's
-
-
2568.98
2598.96
2609.98
-
-
Technical IndicatorsAug 22, 2022 05:10AM GMT
Name
Value
Action
RSI(14)
34.107
Sell
STOCH(9,6)
28.129
Sell
STOCHRSI(14)
4.875
Oversold
MACD(12,26)
-9.510
Sell
ADX(14)
34.785
Neutral
Williams %R
-92.906
Oversold
CCI(14)
-127.5599
Sell
ATR(14)
15.7643
High Volatility
Highs/Lows(14)
-30.3608
Sell
Ultimate Oscillator
47.276
Sell
ROC
-2.230
Sell
Bull/Bear Power(13)
-57.9101
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:10AM GMT
Period
Simple
Exponential
MA5
2607.11
Sell
2605.48
Sell
MA10
2618.76
Sell
2616.29
Sell
MA20
2636.31
Sell
2628.49
Sell
MA50
2633.36
Sell
2626.37
Sell
MA100
2602.77
Sell
2595.55
Sell
MA200
2528.52
Buy
2563.94
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,549,008
Bid/Ask: 2,594.75 / 2,595.70
Day's Range: 2,586.90 - 2,631.30"
2022-08-22 05:19:00.000046,"2,592.50 -21.35    -0.82%
01:18:36 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsAug 22, 2022 05:10AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2535.31
2561.63
2576.31
2602.63
2617.31
2643.63
2658.31
Fibonacci
2561.63
2577.29
2586.97
2602.63
2618.29
2627.97
2643.63
Camarilla
2579.72
2583.48
2587.24
2602.63
2594.76
2598.52
2602.28
Woodie's
2529.49
2558.72
2570.49
2599.72
2611.49
2640.72
2652.49
DeMark's
-
-
2568.98
2598.96
2609.98
-
-
Technical IndicatorsAug 22, 2022 05:10AM GMT
Name
Value
Action
RSI(14)
34.107
Sell
STOCH(9,6)
28.129
Sell
STOCHRSI(14)
4.875
Oversold
MACD(12,26)
-9.510
Sell
ADX(14)
34.785
Neutral
Williams %R
-92.906
Oversold
CCI(14)
-127.5599
Sell
ATR(14)
15.7643
High Volatility
Highs/Lows(14)
-30.3608
Sell
Ultimate Oscillator
47.276
Sell
ROC
-2.230
Sell
Bull/Bear Power(13)
-57.9101
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:10AM GMT
Period
Simple
Exponential
MA5
2607.11
Sell
2605.48
Sell
MA10
2618.76
Sell
2616.29
Sell
MA20
2636.31
Sell
2628.49
Sell
MA50
2633.36
Sell
2626.37
Sell
MA100
2602.77
Sell
2595.55
Sell
MA200
2528.52
Buy
2563.94
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,557,046
Bid/Ask: 2,592.25 / 2,592.50
Day's Range: 2,586.90 - 2,631.30"
2022-08-22 05:21:00.000045,"2,590.35 -23.50    -0.90%
01:20:16 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsAug 22, 2022 05:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2535.31
2561.63
2576.31
2602.63
2617.31
2643.63
2658.31
Fibonacci
2561.63
2577.29
2586.97
2602.63
2618.29
2627.97
2643.63
Camarilla
2579.72
2583.48
2587.24
2602.63
2594.76
2598.52
2602.28
Woodie's
2529.49
2558.72
2570.49
2599.72
2611.49
2640.72
2652.49
DeMark's
-
-
2568.98
2598.96
2609.98
-
-
Technical IndicatorsAug 22, 2022 05:20AM GMT
Name
Value
Action
RSI(14)
32.867
Sell
STOCH(9,6)
27.597
Sell
STOCHRSI(14)
0.657
Oversold
MACD(12,26)
-9.690
Sell
ADX(14)
34.785
Neutral
Williams %R
-95.768
Oversold
CCI(14)
-129.3930
Sell
ATR(14)
15.7786
High Volatility
Highs/Lows(14)
-32.6606
Sell
Ultimate Oscillator
45.744
Sell
ROC
-2.316
Sell
Bull/Bear Power(13)
-57.0521
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell
Moving AveragesAug 22, 2022 05:20AM GMT
Period
Simple
Exponential
MA5
2606.65
Sell
2604.71
Sell
MA10
2618.53
Sell
2615.87
Sell
MA20
2636.20
Sell
2628.27
Sell
MA50
2633.31
Sell
2626.28
Sell
MA100
2602.74
Sell
2595.54
Sell
MA200
2528.61
Buy
2563.71
Buy
Buy: 2
Sell: 10


Summary:Strong Sell","Volume: 1,571,950
Bid/Ask: 2,590.35 / 2,590.45
Day's Range: 2,586.90 - 2,631.30"
