utc_time,current_values,hr1_tech_content,secondary_data
2022-02-23 09:57:00.000066,"1,510.65 -0.05    0.00%
03:46:42 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsFeb 23, 2022 09:50AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1494.84
1500.97
1504.09
1510.22
1513.34
1519.47
1522.59
Fibonacci
1500.97
1504.50
1506.69
1510.22
1513.75
1515.94
1519.47
Camarilla
1504.66
1505.50
1506.35
1510.22
1508.05
1508.90
1509.74
Woodie's
1493.32
1500.21
1502.57
1509.46
1511.82
1518.71
1521.07
DeMark's
-
-
1502.53
1509.44
1511.78
-
-
Technical IndicatorsFeb 23, 2022 09:50AM GMT
Name
Value
Action
RSI(14)
40.553
Sell
STOCH(9,6)
54.563
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-1.150
Sell
ADX(14)
31.541
Sell
Williams %R
-100.000
Oversold
CCI(14)
-151.3175
Sell
ATR(14)
9.4107
Less Volatility
Highs/Lows(14)
-9.9107
Sell
Ultimate Oscillator
45.564
Sell
ROC
-0.260
Sell
Bull/Bear Power(13)
-12.8620
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell
Moving AveragesFeb 23, 2022 09:50AM GMT
Period
Simple
Exponential
MA5
1509.96
Sell
1506.91
Sell
MA10
1512.28
Sell
1510.18
Sell
MA20
1513.37
Sell
1511.02
Sell
MA50
1512.82
Sell
1508.90
Sell
MA100
1501.32
Sell
1506.05
Sell
MA200
1501.69
Sell
1503.24
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 3,031,057
Bid/Ask: 1,510.30 / 1,510.65
Day's Range: 1,508.60 - 1,525.70"
2022-02-23 09:59:00.000050,"1,499.30 -11.40    -0.75%
04:58:32 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE040A01034
S/N:  HDFCBANK","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (8)
Pivot PointsFeb 23, 2022 09:50AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1494.84
1500.97
1504.09
1510.22
1513.34
1519.47
1522.59
Fibonacci
1500.97
1504.50
1506.69
1510.22
1513.75
1515.94
1519.47
Camarilla
1504.66
1505.50
1506.35
1510.22
1508.05
1508.90
1509.74
Woodie's
1493.32
1500.21
1502.57
1509.46
1511.82
1518.71
1521.07
DeMark's
-
-
1502.53
1509.44
1511.78
-
-
Technical IndicatorsFeb 23, 2022 09:50AM GMT
Name
Value
Action
RSI(14)
40.553
Sell
STOCH(9,6)
54.563
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-1.150
Sell
ADX(14)
31.541
Sell
Williams %R
-100.000
Oversold
CCI(14)
-151.3175
Sell
ATR(14)
9.4107
Less Volatility
Highs/Lows(14)
-9.9107
Sell
Ultimate Oscillator
45.564
Sell
ROC
-0.260
Sell
Bull/Bear Power(13)
-12.8620
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell
Moving AveragesFeb 23, 2022 09:50AM GMT
Period
Simple
Exponential
MA5
1509.96
Sell
1506.91
Sell
MA10
1512.28
Sell
1510.18
Sell
MA20
1513.37
Sell
1511.02
Sell
MA50
1512.82
Sell
1508.90
Sell
MA100
1501.32
Sell
1506.05
Sell
MA200
1501.69
Sell
1503.24
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 4,498,712
Bid/Ask: 1,499.55 / 1,499.95
Day's Range: 1,495.65 - 1,525.70"
