utc_time,current_values,hr1_tech_content,secondary_data
2022-05-11 04:27:00.000078,"2,466.00 -8.65    -0.35%
00:26:56 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (10)
Pivot PointsMay 11, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
28.928
Sell
STOCH(9,6)
32.538
Sell
STOCHRSI(14)
92.627
Overbought
MACD(12,26)
-46.060
Sell
ADX(14)
53.465
Sell
Williams %R
-78.845
Sell
CCI(14)
-118.7535
Sell
ATR(14)
25.7822
Less Volatility
Highs/Lows(14)
-13.5429
Sell
Ultimate Oscillator
43.730
Sell
ROC
-2.630
Sell
Bull/Bear Power(13)
-58.9900
Sell
Buy: 0
Sell: 10
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
2477.54
Sell
2477.98
Sell
MA10
2487.42
Sell
2490.67
Sell
MA20
2519.29
Sell
2522.44
Sell
MA50
2630.57
Sell
2601.22
Sell
MA100
2703.64
Sell
2646.25
Sell
MA200
2662.52
Sell
2633.03
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,696,059
Bid/Ask: 2,466.00 / 2,466.10
Day's Range: 2,450.00 - 2,484.95"
2022-05-11 04:29:00.000050,"2,458.40 -16.25    -0.66%
00:28:36 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (10)
Pivot PointsMay 11, 2022 04:20AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:20AM GMT
Name
Value
Action
RSI(14)
28.928
Sell
STOCH(9,6)
32.538
Sell
STOCHRSI(14)
92.627
Overbought
MACD(12,26)
-46.060
Sell
ADX(14)
53.465
Sell
Williams %R
-78.845
Sell
CCI(14)
-118.7535
Sell
ATR(14)
25.7822
Less Volatility
Highs/Lows(14)
-13.5429
Sell
Ultimate Oscillator
43.730
Sell
ROC
-2.630
Sell
Bull/Bear Power(13)
-58.9900
Sell
Buy: 0
Sell: 10
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:20AM GMT
Period
Simple
Exponential
MA5
2477.54
Sell
2477.98
Sell
MA10
2487.42
Sell
2490.67
Sell
MA20
2519.29
Sell
2522.44
Sell
MA50
2630.57
Sell
2601.22
Sell
MA100
2703.64
Sell
2646.25
Sell
MA200
2662.52
Sell
2633.03
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,761,069
Bid/Ask: 2,457.65 / 2,458.40
Day's Range: 2,450.00 - 2,484.95"
2022-05-11 04:31:00.000054,"2,460.95 -13.70    -0.55%
00:30:21 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (9)
Pivot PointsMay 11, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
26.683
Sell
STOCH(9,6)
29.096
Sell
STOCHRSI(14)
74.090
Buy
MACD(12,26)
-47.260
Sell
ADX(14)
53.465
Sell
Williams %R
-93.498
Oversold
CCI(14)
-139.9259
Sell
ATR(14)
26.1536
Less Volatility
Highs/Lows(14)
-28.2713
Sell
Ultimate Oscillator
38.878
Sell
ROC
-3.224
Sell
Bull/Bear Power(13)
-59.8760
Sell
Buy: 1
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
2474.52
Sell
2472.94
Sell
MA10
2485.91
Sell
2487.93
Sell
MA20
2518.53
Sell
2521.00
Sell
MA50
2630.27
Sell
2600.63
Sell
MA100
2703.49
Sell
2645.95
Sell
MA200
2662.44
Sell
2632.88
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,786,801
Bid/Ask: 2,460.35 / 2,460.95
Day's Range: 2,450.00 - 2,484.95"
2022-05-11 04:33:00.000055,"2,452.55 -22.10    -0.89%
00:32:41 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (9)
Pivot PointsMay 11, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
26.683
Sell
STOCH(9,6)
29.096
Sell
STOCHRSI(14)
74.090
Buy
MACD(12,26)
-47.260
Sell
ADX(14)
53.465
Sell
Williams %R
-93.498
Oversold
CCI(14)
-139.9259
Sell
ATR(14)
26.1536
Less Volatility
Highs/Lows(14)
-28.2713
Sell
Ultimate Oscillator
38.878
Sell
ROC
-3.224
Sell
Bull/Bear Power(13)
-59.8760
Sell
Buy: 1
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
2474.52
Sell
2472.94
Sell
MA10
2485.91
Sell
2487.93
Sell
MA20
2518.53
Sell
2521.00
Sell
MA50
2630.27
Sell
2600.63
Sell
MA100
2703.49
Sell
2645.95
Sell
MA200
2662.44
Sell
2632.88
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,842,624
Bid/Ask: 2,452.50 / 2,452.95
Day's Range: 2,450.00 - 2,484.95"
2022-05-11 04:35:00.000059,"2,458.90 -15.75    -0.64%
00:34:31 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (9)
Pivot PointsMay 11, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
26.683
Sell
STOCH(9,6)
29.096
Sell
STOCHRSI(14)
74.090
Buy
MACD(12,26)
-47.260
Sell
ADX(14)
53.465
Sell
Williams %R
-93.498
Oversold
CCI(14)
-139.9259
Sell
ATR(14)
26.1536
Less Volatility
Highs/Lows(14)
-28.2713
Sell
Ultimate Oscillator
38.878
Sell
ROC
-3.224
Sell
Bull/Bear Power(13)
-59.8760
Sell
Buy: 1
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
2474.52
Sell
2472.94
Sell
MA10
2485.91
Sell
2487.93
Sell
MA20
2518.53
Sell
2521.00
Sell
MA50
2630.27
Sell
2600.63
Sell
MA100
2703.49
Sell
2645.95
Sell
MA200
2662.44
Sell
2632.88
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,870,140
Bid/Ask: 2,458.75 / 2,459.00
Day's Range: 2,450.00 - 2,484.95"
2022-05-11 04:37:00.000054,"2,458.40 -16.25    -0.66%
00:36:16 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (9)
Pivot PointsMay 11, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
26.683
Sell
STOCH(9,6)
29.096
Sell
STOCHRSI(14)
74.090
Buy
MACD(12,26)
-47.260
Sell
ADX(14)
53.465
Sell
Williams %R
-93.498
Oversold
CCI(14)
-139.9259
Sell
ATR(14)
26.1536
Less Volatility
Highs/Lows(14)
-28.2713
Sell
Ultimate Oscillator
38.878
Sell
ROC
-3.224
Sell
Bull/Bear Power(13)
-59.8760
Sell
Buy: 1
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
2474.52
Sell
2472.94
Sell
MA10
2485.91
Sell
2487.93
Sell
MA20
2518.53
Sell
2521.00
Sell
MA50
2630.27
Sell
2600.63
Sell
MA100
2703.49
Sell
2645.95
Sell
MA200
2662.44
Sell
2632.88
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,894,259
Bid/Ask: 2,458.45 / 2,459.00
Day's Range: 2,450.00 - 2,484.95"
2022-05-11 04:39:00.000051,"2,457.00 -17.65    -0.71%
00:38:56 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (9)
Pivot PointsMay 11, 2022 04:30AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:30AM GMT
Name
Value
Action
RSI(14)
26.683
Sell
STOCH(9,6)
29.096
Sell
STOCHRSI(14)
74.090
Buy
MACD(12,26)
-47.260
Sell
ADX(14)
53.465
Sell
Williams %R
-93.498
Oversold
CCI(14)
-139.9259
Sell
ATR(14)
26.1536
Less Volatility
Highs/Lows(14)
-28.2713
Sell
Ultimate Oscillator
38.878
Sell
ROC
-3.224
Sell
Bull/Bear Power(13)
-59.8760
Sell
Buy: 1
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:30AM GMT
Period
Simple
Exponential
MA5
2474.52
Sell
2472.94
Sell
MA10
2485.91
Sell
2487.93
Sell
MA20
2518.53
Sell
2521.00
Sell
MA50
2630.27
Sell
2600.63
Sell
MA100
2703.49
Sell
2645.95
Sell
MA200
2662.44
Sell
2632.88
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,923,290
Bid/Ask: 2,456.80 / 2,457.40
Day's Range: 2,450.00 - 2,484.95"
2022-05-11 04:41:00.000052,"2,462.00 -12.65    -0.51%
00:40:16 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (9)
Pivot PointsMay 11, 2022 04:40AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:40AM GMT
Name
Value
Action
RSI(14)
26.738
Sell
STOCH(9,6)
29.493
Sell
STOCHRSI(14)
74.544
Buy
MACD(12,26)
-47.230
Sell
ADX(14)
53.499
Sell
Williams %R
-92.795
Oversold
CCI(14)
-144.0694
Sell
ATR(14)
26.4750
Less Volatility
Highs/Lows(14)
-27.5500
Sell
Ultimate Oscillator
40.098
Sell
ROC
-3.209
Sell
Bull/Bear Power(13)
-64.4900
Sell
Buy: 1
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:40AM GMT
Period
Simple
Exponential
MA5
2474.60
Sell
2473.08
Sell
MA10
2485.95
Sell
2488.00
Sell
MA20
2518.55
Sell
2521.04
Sell
MA50
2630.27
Sell
2600.64
Sell
MA100
2703.49
Sell
2645.95
Sell
MA200
2662.45
Sell
2632.88
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,936,008
Bid/Ask: 2,462.00 / 2,462.65
Day's Range: 2,450.00 - 2,484.95"
2022-05-11 04:43:00.000065,"2,455.90 -18.75    -0.76%
00:42:40 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (9)
Pivot PointsMay 11, 2022 04:40AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:40AM GMT
Name
Value
Action
RSI(14)
26.738
Sell
STOCH(9,6)
29.493
Sell
STOCHRSI(14)
74.544
Buy
MACD(12,26)
-47.230
Sell
ADX(14)
53.499
Sell
Williams %R
-92.795
Oversold
CCI(14)
-144.0694
Sell
ATR(14)
26.4750
Less Volatility
Highs/Lows(14)
-27.5500
Sell
Ultimate Oscillator
40.098
Sell
ROC
-3.209
Sell
Bull/Bear Power(13)
-64.4900
Sell
Buy: 1
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:40AM GMT
Period
Simple
Exponential
MA5
2474.60
Sell
2473.08
Sell
MA10
2485.95
Sell
2488.00
Sell
MA20
2518.55
Sell
2521.04
Sell
MA50
2630.27
Sell
2600.64
Sell
MA100
2703.49
Sell
2645.95
Sell
MA200
2662.45
Sell
2632.88
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,973,455
Bid/Ask: 2,455.90 / 2,456.55
Day's Range: 2,450.00 - 2,484.95"
2022-05-11 04:45:00.000051,"2,459.40 -15.25    -0.62%
00:44:46 - Real-time Data. Currency in INR ( Disclaimer )
Type:  Equity
Market:  India
ISIN:  INE002A01018
S/N:  RELIANCE","Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (9)
Pivot PointsMay 11, 2022 04:40AM GMT
Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
2425.50
2439.20
2457.10
2470.80
2488.70
2502.40
2520.30
Fibonacci
2439.20
2451.27
2458.73
2470.80
2482.87
2490.33
2502.40
Camarilla
2466.31
2469.21
2472.10
2470.80
2477.90
2480.79
2483.69
Woodie's
2427.60
2440.25
2459.20
2471.85
2490.80
2503.45
2522.40
DeMark's
-
-
2463.95
2474.22
2495.55
-
-
Technical IndicatorsMay 11, 2022 04:40AM GMT
Name
Value
Action
RSI(14)
26.738
Sell
STOCH(9,6)
29.493
Sell
STOCHRSI(14)
74.544
Buy
MACD(12,26)
-47.230
Sell
ADX(14)
53.499
Sell
Williams %R
-92.795
Oversold
CCI(14)
-144.0694
Sell
ATR(14)
26.4750
Less Volatility
Highs/Lows(14)
-27.5500
Sell
Ultimate Oscillator
40.098
Sell
ROC
-3.209
Sell
Bull/Bear Power(13)
-64.4900
Sell
Buy: 1
Sell: 9
Neutral: 0


Summary:Strong Sell
Moving AveragesMay 11, 2022 04:40AM GMT
Period
Simple
Exponential
MA5
2474.60
Sell
2473.08
Sell
MA10
2485.95
Sell
2488.00
Sell
MA20
2518.55
Sell
2521.04
Sell
MA50
2630.27
Sell
2600.64
Sell
MA100
2703.49
Sell
2645.95
Sell
MA200
2662.45
Sell
2632.88
Sell
Buy: 0
Sell: 12


Summary:Strong Sell","Volume: 1,989,195
Bid/Ask: 2,459.35 / 2,459.65
Day's Range: 2,450.00 - 2,484.95"
