time,y
2022-02-22 13:47:00+05:30,2257.65
2022-02-22 13:49:00+05:30,2256.6
2022-02-22 13:51:00+05:30,2258.2
2022-02-22 13:53:00+05:30,2256.05
2022-02-22 13:55:00+05:30,2256.05
2022-02-22 13:57:00+05:30,2256.1
2022-02-22 13:59:00+05:30,2261.9
2022-02-22 14:01:00+05:30,2264.0
2022-02-22 14:03:00+05:30,2262.65
2022-02-22 14:05:00+05:30,2262.8
2022-02-22 14:07:00+05:30,2262.85
2022-02-22 14:09:00+05:30,2264.25
2022-02-22 14:11:00+05:30,2264.0
2022-02-22 14:13:00+05:30,2263.35
2022-02-22 14:15:00+05:30,2264.05
2022-02-22 14:17:00+05:30,2265.0
2022-02-22 14:19:00+05:30,2265.85
2022-02-22 14:21:00+05:30,2263.2
2022-02-22 14:23:00+05:30,2265.65
2022-02-22 14:25:00+05:30,2269.6
2022-02-22 14:27:00+05:30,2267.0
2022-02-22 14:29:00+05:30,2268.35
2022-02-22 14:31:00+05:30,2269.75
2022-02-22 14:33:00+05:30,2269.3
2022-02-22 14:35:00+05:30,2270.0
2022-02-22 14:37:00+05:30,2273.3
2022-02-22 14:39:00+05:30,2270.15
2022-02-22 14:41:00+05:30,2273.5
2022-02-22 14:43:00+05:30,2270.4
2022-02-22 14:45:00+05:30,2270.5
2022-02-22 14:47:00+05:30,2271.0
2022-02-22 14:49:00+05:30,2267.55
2022-02-22 14:51:00+05:30,2269.45
2022-02-22 14:53:00+05:30,2272.0
2022-02-22 14:55:00+05:30,2269.05
2022-02-22 14:57:00+05:30,2271.55
2022-02-22 14:59:00+05:30,2268.6
2022-02-22 15:01:00+05:30,2269.3
2022-02-22 15:03:00+05:30,2267.0
2022-02-22 15:05:00+05:30,2268.95
2022-02-23 09:34:00+05:30,2269.6
2022-02-23 09:36:00+05:30,2268.1
2022-02-23 09:38:00+05:30,2267.2
2022-02-23 09:40:00+05:30,2266.0
2022-02-23 09:42:00+05:30,2263.5
2022-02-23 09:44:00+05:30,2263.65
2022-02-23 09:46:00+05:30,2261.5
2022-02-23 09:48:00+05:30,2260.1
2022-02-23 09:50:00+05:30,2261.0
2022-02-23 09:52:00+05:30,2262.3
2022-02-23 09:54:00+05:30,2261.7
2022-02-23 09:56:00+05:30,2261.3
2022-02-23 09:58:00+05:30,2261.05
2022-02-23 10:00:00+05:30,2260.7
2022-02-23 10:02:00+05:30,2260.0
2022-02-23 10:04:00+05:30,2260.05
2022-02-23 10:06:00+05:30,2260.1
2022-02-23 10:08:00+05:30,2258.1
2022-02-23 10:10:00+05:30,2258.65
2022-02-23 10:12:00+05:30,2258.7
2022-02-23 10:14:00+05:30,2258.0
2022-02-23 10:16:00+05:30,2258.05
2022-02-23 10:18:00+05:30,2258.8
2022-02-23 10:20:00+05:30,2258.3
2022-02-23 10:22:00+05:30,2258.0
2022-02-23 10:24:00+05:30,2256.8
2022-02-23 10:26:00+05:30,2257.3
2022-02-23 10:28:00+05:30,2258.25
2022-02-23 10:30:00+05:30,2258.0
2022-02-23 10:32:00+05:30,2259.9
2022-02-23 10:34:00+05:30,2260.0
2022-02-23 10:36:00+05:30,2259.0
2022-02-23 10:38:00+05:30,2255.8
2022-02-23 10:40:00+05:30,2256.05
2022-02-23 10:42:00+05:30,2256.0
2022-02-23 10:44:00+05:30,2256.55
2022-02-23 10:46:00+05:30,2256.85
2022-02-23 10:48:00+05:30,2256.45
2022-02-23 10:50:00+05:30,2256.05
2022-02-23 10:52:00+05:30,2256.35
2022-02-23 10:54:00+05:30,2253.6
2022-02-23 10:56:00+05:30,2253.85
2022-02-23 10:58:00+05:30,2257.35
2022-02-23 11:00:00+05:30,2256.9
2022-02-23 11:02:00+05:30,2256.25
2022-02-23 11:04:00+05:30,2257.4
2022-02-23 11:06:00+05:30,2258.05
2022-02-23 11:08:00+05:30,2258.25
2022-02-23 11:10:00+05:30,2259.6
2022-02-23 11:12:00+05:30,2259.0
2022-02-23 11:14:00+05:30,2257.95
2022-02-23 11:16:00+05:30,2258.65
2022-02-23 11:18:00+05:30,2258.95
2022-02-23 11:20:00+05:30,2259.9
2022-02-23 11:22:00+05:30,2260.65
2022-02-23 11:24:00+05:30,2260.15
2022-02-23 11:26:00+05:30,2260.95
2022-02-23 11:28:00+05:30,2262.05
2022-02-23 11:30:00+05:30,2262.6
2022-02-23 11:32:00+05:30,2263.0
